lon,lat,infestation_percentage
108.9833383,34.76668242,0
108.9849679,34.72229257,0
108.981328,34.77057749,0
108.9785066,34.77095431,0
110.50395,35.304524,0
108.9741383,34.76985,0
108.2009282,34.34503418,0
108.9680039,34.7663706,0
109.0022209,34.7339326,0
109.0084372,34.74005243,0
108.9680633,34.75707633,0
108.973615,34.75779667,0
108.4262201,34.43588899,0
108.0334447,34.30240581,0
120.9375,38.82259098,0
108.9718643,34.74866517,0
108.0339503,34.30242897,0
114.0943325,36.09852562,0
108.0336821,34.3022783,0
91.8758642,54.96702391,0
107.8966388,34.47152681,0
107.8977199,34.47324138,0
107.902311,34.4911605,0
109.0070158,34.74502614,0
109.0060328,34.74763189,0
108.2053532,34.37259519,0
108.9992983,34.743365,0
114.0947684,36.0985234,0
109.0003979,34.74815733,0
108.2079756,34.37427958,0
114.0943368,36.09861479,0
107.9011988,34.49566194,0
114.0938609,36.09832988,0
107.9001724,34.49480867,0
108.7928153,34.88043054,0
110.5345433,35.2772,0
107.9134153,34.44678996,0
110.5415667,35.2884,0
107.9180207,34.45093955,0
110.532115,35.28353333,0
108.7928414,34.88051164,0
0,0,0
107.896532,34.45761975,0
108.7928293,34.88045565,0
107.8966524,34.4594722,0
108.792854,34.8805071,0
108.7989712,34.89154756,0
107.8954636,34.46898239,0
108.7925979,34.88036859,0
108.9489395,35.10729275,0
108.9678741,35.08515537,0
108.9679009,35.08518219,0
108.9488786,35.10709047,0
108.967858,35.08511782,0
108.9487284,35.10739088,0
108.968603,35.086616,0
108.96013,35.086287,0
108.9487392,35.10737479,0
108.960123,35.086282,0
108.948648,35.1074928,0
108.960133,35.086289,0
108.9487821,35.10733724,0
108.9487821,35.10732651,0
108.9996213,34.75261889,0
108.9487982,35.10730576,0
108.9966409,34.75413613,0
78.872845,39.70859779,0
108.2360387,34.39039326,0
0,0,0
108.994304,34.757364,0
108.992866,34.76131469,0
0,0,0
0,0,0
108.8717262,34.95007758,0
108.8621291,34.97601407,0
108.871885,34.94998896,0
